,OrderId,CustomerId,Subscription,PaidDate,Total,Churn
0,2250,848,0,2020-02-07,69.0,0
1,1807,848,0,2020-06-15,15.0,0
2,1351,848,1,2020-09-05,98.0,0
3,951,848,1,2020-04-16,69.0,0
4,2249,1342,0,2020-01-07,118.0,0
5,2247,1341,0,2020-01-07,59.0,0
6,2246,1340,0,2020-01-07,59.0,0
7,2242,1334,0,2020-06-28,79.0,0
8,2240,1332,0,2020-06-27,118.0,0
9,2184,1108,0,2020-06-26,20.0,0
10,1410,1108,1,2020-10-05,98.0,0
11,1249,1108,1,2020-02-05,98.0,0
12,2168,850,0,2020-01-07,20.0,0
13,1451,850,1,2020-05-13,118.0,0
14,1299,850,1,2020-06-05,69.0,0
15,953,850,1,2020-04-16,69.0,0
16,2011,598,0,2020-06-25,69.0,0
17,2003,622,0,2020-06-23,79.0,0
18,733,622,1,2020-02-04,69.0,0
19,2002,787,0,2020-06-22,79.0,0
20,1312,787,1,2020-07-05,69.0,0
21,892,787,1,2020-04-13,69.0,0
22,1999,1323,0,2020-06-22,118.0,0
23,1998,1041,0,2020-06-21,79.0,0
24,1181,1041,1,2020-04-29,98.0,0
25,1992,1319,0,2020-06-19,118.0,0
26,1878,1319,0,2020-06-15,118.0,0
27,1993,1320,0,2020-06-19,74.0,0
28,1879,1320,0,2020-06-15,74.0,0
29,1995,1117,0,2020-06-19,147.0,0
30,1882,1117,0,2020-06-17,147.0,0
31,1259,1117,1,2020-03-05,79.0,0
32,1985,1311,0,2020-06-19,20.0,0
33,1574,1311,0,2020-08-06,20.0,0
34,1986,1018,0,2020-06-19,49.0,0
35,1872,1018,0,2020-11-06,49.0,0
36,1157,1018,1,2020-04-28,49.0,0
37,1987,1313,0,2020-06-19,98.0,0
38,1873,1313,0,2020-12-06,98.0,0
39,1989,1316,0,2020-06-19,79.0,0
40,1875,1316,0,2020-06-14,79.0,0
41,1979,1308,0,2020-06-19,79.0,0
42,1567,1308,0,2020-04-06,79.0,0
43,1983,81,0,2020-06-19,118.0,0
44,1571,81,0,2020-07-06,118.0,0
45,199,81,1,2019-07-11,60.0,0
46,1976,1305,0,2020-06-19,118.0,0
47,1564,1305,0,2020-03-06,118.0,0
48,1967,1296,0,2020-06-19,79.0,0
49,1488,1296,0,2020-05-24,79.0,0
50,1968,1297,0,2020-06-19,79.0,0
