ID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment,RFM_Score,Segment,Score
2092329948149575290,217,1,54.0,4,1,2,4.01.02.0,7,Hibernating,Bronze
12849545117712085541,66,1,98.0,2,1,4,2.01.04.0,7,New customers,Bronze
8144808881881603173,66,1,69.0,2,1,3,2.01.03.0,6,New customers,Bronze
14457143150027122736,66,1,98.0,2,1,4,2.01.04.0,7,New customers,Bronze
9143720643862541019,66,1,98.0,2,1,4,2.01.04.0,7,New customers,Bronze
10926515571155703347,66,1,49.0,2,1,1,2.01.01.0,4,New customers,Green
7860386273841242005,66,2,147.0,2,4,4,2.04.04.0,10,Can't loose them,Gold
6358434064837544706,66,1,98.0,2,1,4,2.01.04.0,7,New customers,Bronze
11746536310016686914,66,1,69.0,2,1,3,2.01.03.0,6,New customers,Bronze
2804492718261522268,66,1,69.0,2,1,3,2.01.03.0,6,New customers,Bronze
982014640712641027,66,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
16980505942545337569,66,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
3097298802046789202,66,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
18410470133223644928,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
3593312783142525313,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
10553858868509974456,65,1,49.0,2,1,1,2.01.01.0,4,New customers,Green
6078612213743548301,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
7316888033561635806,21,3,146.0,1,4,4,1.04.04.0,9,Can't loose them,Silver
11056742790466250765,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
13585700814757968933,216,1,54.0,4,1,2,4.01.02.0,7,Hibernating,Bronze
16616716005059500499,65,1,98.0,2,1,4,2.01.04.0,7,New customers,Bronze
2807551524959266884,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
15056058060736151856,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
3468240274629237542,65,1,98.0,2,1,4,2.01.04.0,7,New customers,Bronze
980150487856794791,65,1,79.0,2,1,4,2.01.04.0,7,New customers,Bronze
8900580137940178426,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
16705789012441344101,65,1,59.0,2,1,2,2.01.02.0,5,New customers,Green
6930417139726957105,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
9190685809429873146,216,1,59.0,4,1,2,4.01.02.0,7,Hibernating,Bronze
11701194206321367400,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
10394669637098737025,64,1,49.0,1,1,1,1.01.01.0,3,New customers,Green
989692162345027689,64,1,49.0,1,1,1,1.01.01.0,3,New customers,Green
14302136601454209291,64,1,79.0,1,1,4,1.01.04.0,6,New customers,Bronze
2785003033602210435,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
8019391083294257373,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
14337157005436584057,64,1,49.0,1,1,1,1.01.01.0,3,New customers,Green
878680081336990355,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
6008167547059224202,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
15355169878858886788,215,1,54.0,4,1,2,4.01.02.0,7,Hibernating,Bronze
722200958363799690,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
15703099007693156798,11,2,177.0,1,4,4,1.04.04.0,9,Can't loose them,Silver
10333552501388925456,64,1,69.0,1,1,3,1.01.03.0,5,New customers,Green
231151586908095279,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
12377385007815017393,64,1,98.0,1,1,4,1.01.04.0,6,New customers,Bronze
9261433223730903571,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
8304585558606337644,64,1,54.0,1,1,2,1.01.02.0,4,New customers,Green
521309028692251414,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
8042277878521268360,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
3586815104147056644,215,1,54.0,4,1,2,4.01.02.0,7,Hibernating,Bronze
13720583500974671082,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
9780086345972169304,64,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
12693925001627043110,63,1,49.0,1,1,1,1.01.01.0,3,New customers,Green
6592455766511263161,63,1,59.0,1,1,2,1.01.02.0,4,New customers,Green
16065771534883619984,63,1,98.0,1,1,4,1.01.04.0,6,New customers,Bronze
2159116679220094625,63,1,69.0,1,1,3,1.01.03.0,5,New customers,Green
9710370369204447007,215,1,54.0,4,1,2,4.01.02.0,7,Hibernating,Bronze
