frequency,recency,T,monetary_value,prob_alive,churn
1.0,33.0,134.0,95.0,0.04678191339129741,churned
1.0,66.0,343.0,79.0,0.03126007781086256,churned
1.0,102.0,280.0,16.0,0.04962129375742547,churned
2.0,214.0,583.0,64.9,0.081686708644606,churned
1.0,48.0,55.0,106.9,0.09937942259720131,churned
1.0,175.0,573.0,139.9,0.03957288410470267,churned
1.0,50.0,116.0,99.9,0.06368554234761467,churned
1.0,23.0,406.0,52.64,0.01594306930346252,churned
1.0,179.0,593.0,96.0,0.03905221547742992,churned
3.0,173.0,473.0,63.23333333333334,0.06359500557735176,churned
